n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,4617.58,2740.74,1600,2000,4600,6000,17900
18,12561.3,4718.52,7500,7975,12200,15000,28200
28,25819.5,14770.3,17900,19375,24800,26800,235100
38,39192.6,8572.61,33300,33900,35400,41800,86400
48,59832.8,11966.4,53800,54100,55800,61625,136400
58,86690.2,16987.4,79000,79500,81850,87225,218600
68,117794,20599,109400,109900,111850,117550,263700
78,155447,30581.8,144800,145400,148400,153600,361100
88,199743,33127.5,184500,185700,189850,195700,447500
98,244060,45616.2,229800,231200,235350,240800,702300
108,297764,47868.6,279300,280700,285550,290200,644200
118,349417,56967.6,334100,335775,339200,344200,788300
128,421209,94498.9,392200,394850,398800,405150,1.4421e+06
138,469466,53975.5,456100,457700,460900,465825,1.0439e+06
148,555460,94768.5,528500,531175,534650,541000,1.5247e+06
158,608845,7417.39,601400,604275,606900,612150,674200
168,725339,145654,684100,688600,690900,697100,2.3241e+06
178,785215,71890.2,765500,770100,772100,778125,1.7355e+06
188,878442,65253.4,857400,862300,864550,873100,1.6932e+06
198,989868,119970,951200,955200,958200,967475,1.8875e+06
208,1.09594e+06,141289,1.0517e+06,1.05608e+06,1.06095e+06,1.06868e+06,2.3008e+06
218,1.1721e+06,43397,1.155e+06,1.1602e+06,1.1639e+06,1.16982e+06,1.7608e+06
228,1.30273e+06,110674,1.2661e+06,1.27188e+06,1.27675e+06,1.28572e+06,2.0177e+06
238,1.41242e+06,75614.3,1.3863e+06,1.39135e+06,1.3956e+06,1.40358e+06,2.1583e+06
248,1.53788e+06,144316,1.4931e+06,1.4997e+06,1.5052e+06,1.51115e+06,2.5818e+06
258,1.70326e+06,202543,1.6263e+06,1.63278e+06,1.6399e+06,1.66228e+06,3.7269e+06
268,1.78406e+06,51783,1.7558e+06,1.76538e+06,1.77515e+06,1.78282e+06,2.2993e+06
278,1.94875e+06,243919,1.8922e+06,1.8985e+06,1.90545e+06,1.9098e+06,4.6912e+06
288,2.09399e+06,195462,2.0392e+06,2.04768e+06,2.0529e+06,2.06922e+06,4.0214e+06
298,2.2349e+06,162317,2.1807e+06,2.18848e+06,2.1939e+06,2.20888e+06,3.3246e+06
308,2.39078e+06,214511,2.3155e+06,2.3255e+06,2.3349e+06,2.36228e+06,3.8497e+06
318,2.55563e+06,280935,2.4706e+06,2.47932e+06,2.4884e+06,2.51532e+06,4.9671e+06
328,2.70735e+06,200417,2.6431e+06,2.6574e+06,2.66465e+06,2.68972e+06,4.6063e+06
338,2.87821e+06,254688,2.8024e+06,2.81438e+06,2.82265e+06,2.84708e+06,5.0838e+06
348,3.01286e+06,74010.3,2.9748e+06,2.9891e+06,2.9955e+06,3.01865e+06,4.0426e+06
