n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,10866,6116.4,3600,4975,10550,14900,34000
18,16207.4,6528.39,9000,10100,15200,21225,41900
28,24891.4,9442.5,13100,15775,25650,29950,79200
38,24913.7,7838.23,17100,18300,21800,31500,63400
48,25809,8697.66,17600,18700,22500,31625,65800
58,36834.8,11455.6,26900,28200,34200,42300,123900
68,40959,8408.38,33000,34100,37750,47050,83600
78,45100.8,14265.6,34000,35000,39700,50625,125900
88,44958.6,10967.8,35100,37300,40200,51525,113000
98,46006.6,10909.4,37200,38675,41350,51800,113200
108,65835.9,15059.4,51500,55800,59800,72350,141100
118,69971.9,14541.8,59000,60600,64250,76900,159800
128,74237.1,11756.3,63900,65100,69750,82200,163300
138,82570.3,16892.8,68200,70375,76000,90150,182100
148,88977.3,18366.1,77100,78700,82350,95525,229300
158,95292.6,20722.1,80000,81600,88000,101225,233200
168,98190.2,13981.3,88400,89500,93150,105600,241900
178,106395,21080.4,93400,94800,98500,111950,261300
188,107344,24733.1,88100,91700,97700,112100,231000
198,102414,19682.4,89300,90975,96000,108900,239400
208,121961,19598.1,108300,110200,117550,129225,278200
218,131419,27688.4,111900,116100,123700,135125,278600
228,141176,19140.4,128400,130500,135750,148425,321200
238,142934,25752.6,123300,128475,135400,146600,305400
248,156947,26095.7,142400,144400,151400,162125,374300
258,164502,30083.7,145500,151000,157000,168450,368300
268,166632,28552.8,147900,152375,158050,169450,358100
278,177863,37102.9,158300,162575,169850,180500,433400
288,165896,33647.5,148700,152375,156800,169850,444600
298,193766,42057.1,171500,174300,182450,194625,563700
308,187758,29075.4,172200,174275,178800,193300,413200
318,190704,35844.9,170300,173400,180900,191950,476000
328,199053,32484.3,181100,185700,191100,203900,452200
338,215389,40138.5,194600,197425,205300,220125,500000
348,198684,33361.1,177000,181875,190050,202800,446600
358,195367,26080.2,180500,183000,189150,201825,459400
368,217130,35528.8,194300,198300,206700,220225,455500
378,205393,28507.3,184400,190950,200350,211250,457600
388,218437,26686.5,202100,205900,211250,224450,496200
398,220364,43191.6,193400,200675,206750,221975,496600
408,237526,21515.5,221500,224800,232750,245625,495200
418,244720,57686.8,219300,223500,230350,242525,867900
428,232106,33656.9,214000,218275,224100,237400,515600
438,255347,42052.1,232500,236800,241500,256575,545100
448,255821,23250.3,237800,243500,251950,262550,546600
458,275973,39934.8,254200,260075,269750,281500,677300
468,293665,47066,267300,271675,282000,292650,620400
478,272380,24738,248400,258275,269700,278925,562600
488,302225,87783.4,268600,275200,283150,296125,1.4139e+06
498,292582,46168.9,266400,275775,282350,297150,756300
508,331101,66236.3,293400,301550,313150,328400,748600
