n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,4239.06,2247.32,1500,1900,4200,5800,14700
18,11609.4,5636.55,7400,7700,11200,14100,75900
28,25320.7,6956.06,18100,19050,24900,27550,68100
38,38140.2,6974.24,33500,33875,35800,40400,87700
48,61388.3,15566.5,53900,54300,57000,61000,181700
58,87525.4,19369.9,78800,79375,82200,87225,204100
68,118471,23461.4,108300,108900,111350,117125,265400
78,154867,37016.6,143500,144000,147050,152125,516600
88,191505,21401,183900,184700,187200,193225,473800
98,242880,41159.9,228000,229100,232650,238300,642100
108,292447,48747,278200,279375,282200,288200,670300
118,353852,58884.5,332300,333900,339200,344200,843700
128,411152,63014.4,392700,394000,397550,402200,933300
138,472058,65251.6,454800,456850,459950,465825,1.0816e+06
148,557652,94701,525800,529575,532800,539325,1.2441e+06
158,614966,25553.3,604300,607550,609400,616350,965100
168,720061,108920,684300,688700,692700,698675,1.6848e+06
178,786078,59284.4,765300,769700,773000,779500,1.4041e+06
188,895445,138115,855500,859900,863650,873175,2.2643e+06
198,987937,117667,947300,952475,956150,963725,1.6681e+06
208,1.07998e+06,87178.4,1.0514e+06,1.05638e+06,1.0627e+06,1.06948e+06,2.0809e+06
218,1.19237e+06,115539,1.1532e+06,1.1586e+06,1.1641e+06,1.17338e+06,2.0044e+06
228,1.28643e+06,35472.3,1.2659e+06,1.27128e+06,1.2773e+06,1.2861e+06,1.6509e+06
238,1.42425e+06,190918,1.3691e+06,1.37648e+06,1.3824e+06,1.3934e+06,3.7437e+06
248,1.52249e+06,100502,1.4914e+06,1.49905e+06,1.5053e+06,1.51312e+06,2.7124e+06
258,1.67428e+06,201540,1.6189e+06,1.6241e+06,1.62945e+06,1.63785e+06,3.739e+06
268,1.79862e+06,155111,1.7499e+06,1.76248e+06,1.7683e+06,1.7795e+06,2.9892e+06
278,1.92467e+06,139062,1.8789e+06,1.8877e+06,1.89165e+06,1.9055e+06,3.0286e+06
288,2.07212e+06,168541,2.02e+06,2.0268e+06,2.03245e+06,2.04782e+06,3.3555e+06
298,2.24059e+06,191286,2.1729e+06,2.1831e+06,2.19095e+06,2.2102e+06,3.586e+06
308,2.38202e+06,291580,2.3095e+06,2.3211e+06,2.3264e+06,2.3411e+06,5.7498e+06
318,2.51308e+06,79729.8,2.4689e+06,2.48065e+06,2.48995e+06,2.5155e+06,3.0603e+06
328,2.69343e+06,272745,2.623e+06,2.63548e+06,2.64205e+06,2.65412e+06,5.2744e+06
338,2.85582e+06,268792,2.7871e+06,2.7963e+06,2.8019e+06,2.81635e+06,5.6851e+06
348,3.03398e+06,288797,2.9596e+06,2.97312e+06,2.9784e+06,2.99388e+06,6.2447e+06
358,3.21942e+06,283853,3.1373e+06,3.14818e+06,3.15515e+06,3.17892e+06,5.6596e+06
368,3.37309e+06,252017,3.3027e+06,3.31428e+06,3.32135e+06,3.33905e+06,5.4409e+06
378,3.56555e+06,249135,3.5056e+06,3.51798e+06,3.52305e+06,3.53425e+06,5.7705e+06
388,3.74763e+06,206493,3.6834e+06,3.69538e+06,3.7021e+06,3.71978e+06,5.8055e+06
398,3.97451e+06,307112,3.8956e+06,3.9135e+06,3.9225e+06,3.938e+06,7.2088e+06
408,4.13189e+06,336048,4.0586e+06,4.07148e+06,4.07635e+06,4.09302e+06,7.3143e+06
418,4.35917e+06,262812,4.2776e+06,4.29658e+06,4.302e+06,4.32355e+06,6.5667e+06
428,4.58689e+06,378433,4.4835e+06,4.49592e+06,4.5031e+06,4.52642e+06,8.3738e+06
