n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,9585.94,4912.13,3500,4775,9250,13500,29000
18,16167.6,7168.08,7900,9875,14150,20600,42500
28,22382.8,7963.58,13400,15300,20800,27400,51700
38,26247.3,7711.18,17600,19375,23400,32300,50300
48,30453.9,10577.4,20400,21975,25800,36525,87200
58,33559,8798.52,25400,26300,29900,40925,76600
68,49426.2,14097.3,33800,36600,48700,55625,99600
78,48817.6,13079.3,37400,39100,43300,56325,131500
88,47479.3,14141.7,34000,37600,40500,55625,129500
98,52206.2,13156.2,40800,42475,46200,59875,126000
108,64223.4,19439.7,49700,51000,55750,70100,154700
118,68009,16583.4,56000,57575,63350,73800,186100
128,70491,12223.7,60200,61875,65550,77275,146900
138,80854.7,15741.3,67400,69400,74450,87000,170100
148,84212.5,15779.2,72600,74075,77750,91925,192400
158,109617,164529,83900,85500,91600,103825,2.7062e+06
168,90096.1,17576.9,77500,79300,84900,96825,224300
178,109925,25306.9,92600,94400,102100,115125,255600
188,101431,14065.4,89400,91300,95650,109775,236800
198,110700,22459.7,96200,97700,104200,117225,253000
208,114714,25007.7,97500,99675,106850,119650,266400
218,112252,26918.3,97200,99375,103400,116300,281300
228,134309,24620.9,117100,120475,125950,140625,320600
238,139036,26206.1,120500,125700,132100,144400,328700
248,144612,16084.9,131600,135000,139800,152375,340700
258,154839,27027.9,137000,139700,146750,159125,335000
268,160539,30375.9,144200,146200,151700,167000,383200
278,173421,37718.4,149600,153375,162000,176700,377000
288,180357,11629.2,164300,169775,177850,189375,208600
298,172946,20990.5,157800,160000,166550,181650,383400
308,171927,22577.8,154900,157775,163950,178225,298000
318,172651,28767.7,154300,159800,165250,178300,399700
328,186379,28530.4,163800,169800,179850,191025,391200
338,191732,31208.1,169600,176000,182600,199000,435300
348,199811,39597.2,176200,180400,191700,202050,519600
358,194398,32408.9,175300,179075,188500,200950,435700
368,207853,32252.2,188000,194400,201500,213300,455900
378,213190,46494.5,186400,192175,204750,215050,582400
388,199452,22084.2,183300,187900,193750,207825,458100
398,197785,39400.7,173500,177300,187550,198025,428400
408,214358,36130.3,194100,200425,206950,218800,571500
418,250254,56445.5,219000,225400,235650,247875,712200
428,251265,33859.8,230700,237200,242800,256800,559400
438,256815,55495.6,228300,232575,242100,255625,579100
448,250162,22129.6,233700,238875,244350,257125,537000
458,264767,30744,240300,251975,258000,270650,582600
468,292443,65486.7,258100,266025,273450,287025,735200
478,270048,40320.3,245900,253100,263700,273700,587200
488,308183,51407,276500,286800,295900,309000,676100
498,309940,54020.3,284100,291575,296600,311175,693500
508,299574,43599.9,273300,280775,288450,301425,664200
518,296532,51440.1,271900,278700,285900,297425,668400
528,330357,70556.1,294700,303350,310300,324250,720000
538,330722,52353.3,304400,312275,321100,332125,776900
548,320229,77497.2,282400,289700,298300,311925,708100
558,352579,74828.9,313900,324675,333000,345850,768000
568,342373,65788.9,314600,321500,329600,341150,747800
578,357398,75990.5,322100,328200,337950,350100,857000
588,361844,75949.9,321600,333850,343100,355575,778000
598,379160,86258.1,338200,344700,353900,368025,867800
608,344716,30102.9,325100,332075,336750,353400,772400
618,371882,48791.2,344700,352275,361450,372725,786800
628,364391,73343,329900,338575,346850,359400,801800
638,401484,84461.9,362200,368675,380700,392275,946300
648,378187,77956.4,343000,349775,360000,372525,822200
658,392724,83650.3,347400,360675,371350,382150,935700
668,354581,66091.8,322400,332675,339900,352425,761100
678,379594,67943.8,341800,354100,361800,374100,824400
688,382507,64688.4,352000,362075,371100,383000,873300
698,398956,54085.1,373600,380700,388600,400975,864900
708,374298,60047.9,340000,350900,359800,372500,784800
718,391310,73099.9,358800,367875,376200,389550,863000
728,424626,90908.9,374400,390275,398200,411975,920700
738,411508,77718.4,376200,387500,396400,407025,886400
748,402541,50785.5,370900,381375,391050,401475,750300
758,405784,63610,370200,384500,391450,406300,897600
768,415748,90278.6,363500,376550,385300,407925,925200
778,417373,52308.5,385200,399600,409400,421525,919800
788,425888,58371.9,387700,401375,410400,425000,758700
798,409316,54343.8,382800,391750,400050,410425,921300
808,443917,66488.3,405800,420875,427050,438875,946300
818,454718,77505.6,422000,433175,440200,451025,1.0042e+06
828,463103,72424,418900,436000,444200,456000,978900
838,472592,56005.7,445500,456475,462550,474550,1.0195e+06
848,481186,73718.2,440200,454550,462650,475150,1.0046e+06
858,501633,52840.2,471700,485225,491650,504150,985200
868,502370,115784,444100,464275,474350,488050,1.6933e+06
878,474033,67781.8,440100,451600,458650,476925,1.0852e+06
888,508271,89174.6,464900,476775,486300,503850,1.3417e+06
898,518467,52022.2,485600,500450,509450,523525,1.1253e+06
908,494494,52460.6,453000,470175,480000,498375,768300
918,500621,46462.3,466300,485175,492400,505675,1.054e+06
928,544135,76800.2,499000,517800,526050,541625,1.0662e+06
938,527042,69862.9,487100,504900,514050,528900,1.1945e+06
948,590564,190553,526300,551300,560500,575950,2.706e+06
958,549773,70203.9,500800,525000,533100,550625,1.1522e+06
968,571598,67305.6,531900,549475,558950,575625,1.2401e+06
978,572965,52372.2,530000,550775,560200,575825,960300
988,578018,68831.1,533400,549500,559950,576050,1.0962e+06
998,602488,71474.3,562400,581575,587300,606900,1.3916e+06
1008,610871,53905.5,578500,592175,601150,613900,1.2138e+06
1018,608018,85255.6,559200,577225,586850,602025,1.2807e+06
1028,651703,64859.8,613500,632700,641000,654175,1.365e+06
1038,640233,119380,577800,607000,617200,636875,2.1852e+06
1048,615307,20609.5,583500,603125,610700,625625,808100
1058,664658,94499.9,620100,633175,640850,658025,1.4806e+06
1068,637362,18443.5,601700,623975,634250,648175,721000
1078,688292,147803,633900,651675,661900,677075,2.5037e+06
1088,690089,55420.7,652100,671975,681850,698800,1.4057e+06
1098,679044,61177.3,635700,654775,664200,682050,1.1159e+06
1108,672430,47354.9,631300,653725,664450,679400,1.1033e+06
1118,704750,97919.2,637700,673000,682650,694800,1.6465e+06
1128,709682,74136.4,652300,686100,697050,709550,1.2924e+06
1138,713834,125220,658900,677300,686700,700400,1.8912e+06
1148,709712,79898.8,667900,692675,698800,710375,1.5157e+06
1158,714068,94225.2,666500,683175,691800,702575,1.3221e+06
1168,709216,24637.9,668200,696500,705900,716500,1.0017e+06
1178,721845,103048,670300,687775,697950,709000,1.321e+06
1188,711870,36759.8,679900,701400,708300,714725,1.1566e+06
1198,743970,89728,688300,713800,723400,735525,1.2942e+06
1208,713849,52061.3,674400,699125,707950,717550,1.2549e+06
1218,722196,81363.4,663300,694700,705850,719500,1.2331e+06
1228,700848,38116.9,670100,686900,697150,707200,1.2583e+06
1238,740448,105379,689200,710675,719050,728025,1.7388e+06
1248,754991,48739.3,720700,739900,747950,756925,1.2768e+06
1258,759619,171543,698900,719200,727900,740375,3.0011e+06
1268,781537,58708.2,748500,765075,772800,782525,1.4702e+06
1278,793027,218613,722800,749350,760450,770725,3.9363e+06
1288,722261,25509.2,691100,712000,718800,728950,1.0712e+06
1298,776561,75712.2,725600,749975,761800,775425,1.3551e+06
1308,729950,87471.5,680500,701625,714350,725450,1.7025e+06
1318,733211,68172.3,687500,712125,724000,738200,1.2902e+06
1328,781060,84129.9,718300,754975,762450,770750,1.3351e+06
1338,770859,77946.4,721400,752050,760550,769275,1.4978e+06
1348,782609,130225,733900,750375,758200,770825,2.4148e+06
1358,724267,43980.9,687400,708000,720750,730900,1.2103e+06
1368,800499,126703,743200,764000,774000,784025,2.1636e+06
1378,740282,30492,706000,728750,737100,746100,1.1728e+06
1388,756677,82665.6,707100,729100,739100,751100,1.2956e+06
1398,751492,50707.6,713700,734925,745150,755200,1.2439e+06
1408,814809,212797,755600,774900,783950,795875,3.8858e+06
1418,748389,141045,693000,715275,724350,735550,2.5055e+06
1428,731856,29846.6,681800,717975,728300,739025,1.0102e+06
1438,782830,77000,734200,756975,766600,777150,1.2857e+06
1448,800005,48448.4,759900,784450,794400,804425,1.325e+06
1458,825716,115281,763300,787050,795700,807450,1.5072e+06
1468,781569,72060.1,736500,763400,773250,783300,1.6763e+06
1478,793609,77412.3,740900,772075,782450,792325,1.6474e+06
1488,800356,79617.7,747400,776450,787000,800300,1.5526e+06
1498,791645,38045.9,744000,776550,788850,800350,1.3281e+06
1508,854606,94084.6,799000,825475,834550,846400,1.5966e+06
1518,817052,42145.4,776200,799850,810900,822450,1.2192e+06
1528,814498,83337.9,753700,786750,797400,810425,1.3651e+06
1538,849543,122279,788400,812800,822500,836950,1.8197e+06
1548,802416,44006.4,748100,786050,797750,806725,1.2206e+06
1558,803829,57265.7,760500,785675,796650,807700,1.3435e+06
1568,875002,84850,820400,846500,858150,871775,1.6264e+06
1578,839094,51696.5,797000,821775,829250,842975,1.4064e+06
1588,852327,105571,781900,816250,826450,836625,1.4998e+06
1598,854893,45194.6,811900,838875,848750,860325,1.3841e+06
1608,846934,81227.6,799400,821450,828450,839400,1.3521e+06
1618,874153,63872.7,832700,856275,867950,879825,1.8183e+06
1628,858329,82343.3,793800,832575,841550,854500,1.3657e+06
1638,893196,78952.2,843200,874600,885150,898700,1.9878e+06
1648,950162,116425,886800,915775,926200,936925,2.1424e+06
1658,929319,38048.4,878300,913400,925800,939825,1.3814e+06
1668,925180,87214.2,862100,893900,905550,920525,1.5482e+06
1678,954863,144934,889200,916700,930150,947625,2.7972e+06
